수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,FTA,"관세청, 대구 소재 베어링 수출기업 간담회··· 국산 둔갑 단속 강화",http://www.intn.co.kr/news/articleView.html?idxno=2049962,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,[4월 2일 고용24 채용정보] 서울특별시·해운대구보건소·부산진구청·이...,https://www.news2day.co.kr/article/20260402500063,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"노무법인 에이치, 방송영상제작사협회 회원사 대상 인사·노무 강의 진...",https://www.donga.com/news/Society/article/all/20260402/133663798/1,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"산업의 심장 울산, 박물관에서 마주하는 시간의 결",http://www.ujeil.com/news/articleView.html?idxno=383610,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,진천군 도시근로자 지원사업 순항,https://www.ccdn.co.kr/news/articleView.html?idxno=1071206,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, '도시근로자 지원사업' 안착... 목표치 90% 이상 달성",http://www.newstnt.com/news/articleView.html?idxno=603191,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, '충북형 도시근로자 지원사업' 순항",http://www.enewstoday.co.kr/news/articleView.html?idxno=2414530,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, '충북형 도시근로자 지원사업' 순항… 목표 달성 눈앞",https://www.ccdailynews.com/news/articleView.html?idxno=2407613,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 높은 참여율 기록",https://www.ccreview.co.kr/news/articleView.html?idxno=345698,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 순항",http://www.dynews.co.kr/news/articleView.html?idxno=845055,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 순항",https://www.ggilbo.com/news/articleView.html?idxno=1150392,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 순항",http://www.cctimes.kr/news/articleView.html?idxno=899784,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 순항",https://www.newspim.com/news/view/20260402000188,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 순항",https://www.joongdo.co.kr/web/view.php?key=20260402010000455,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 안정적 운영...참여율 92% 달성",http://www.breaknews.com/1197337,네이버 뉴스,Portal,
2026-04-02,2026-04-02,근로시간,"진천군, 충북형 도시근로자 지원사업 참여율 '눈에 띄네'",https://www.news1.kr/local/sejong-chungbuk/6122535,네이버 뉴스,Portal,
2026-04-02,2026-04-02,산업용 전기요금,"[사설]울산 기회발전특구 성패, '규제 혁파' 속도에 달렸다",https://www.ksilbo.co.kr/news/articleView.html?idxno=1052930,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,"이란 전쟁에 ""유가 상승폭 예측 불가"" 싱크탱크 분석, 글로벌 경기침체 경고 - businesspost.co.kr",https://news.google.com/rss/articles/CBMic0FVX3lxTFBMekY2YWxlc0NsRm1ZTzlLTWtCS0pWSmJ1ZS13RkdHcVAyc1d4S2dmY1pSUGQzM2V3NURjN09nN214eUJPQl9HNEVENHFWU29sYzM4cmtudHVJemZTVmV6VVBiVVBVSmhOUllSNkE5dVlmWU0?oc=5,businesspost.co.kr,Portal,
2026-04-02,2026-04-02,유가,기름값 폭등에 3월 울산 소비자 물가 2.5%↑,http://www.ujeil.com/news/articleView.html?idxno=383604,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,울산시 '중동 리스크 장기화' 민생·유가·물가안정 전방위 대응,https://www.ulsanpress.net/news/articleView.html?idxno=572413,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,"울산해경, 경비함정 운영체계 손질…고유가 유류 절감 대책 총력전",https://www.ulsanpress.net/news/articleView.html?idxno=572373,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,"울산해경, 에너지 위기에 함정 유류절감 총력",https://www.ksilbo.co.kr/news/articleView.html?idxno=1053002,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,"울진군, 중동발 경제위기에 민생 방어",https://www.ksmnews.co.kr/news/view.php?idx=598389,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,"유가네 닭갈비 울산강동산하점, 볶음밥 도시락 10개 기부",https://www.ulsanpress.net/news/articleView.html?idxno=572402,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,천미경 울산시의원 종량제 봉투 '가짜 품귀' 선제적 강력 대응을,http://www.ujeil.com/news/articleView.html?idxno=383639,네이버 뉴스,Portal,
2026-04-02,2026-04-02,유가,金총리 “유가 폭등설 등 가짜뉴스 신속 조치하라” 지시 - 서울경제,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9SYnI3d0ZIOFJtZS1BSVhVbXJxbWNRRTRQb2JxbE1tZnlPaVFROXJXN2l0NTR6T2FER25jSXFuVEdTRVhjWkVKV0wtc2FyVEs2OEHSAVNBVV95cUxPMlFwNGVGemtxXzEyZEhLbndhLXhvbGFvZkJzdFBYeDJWc01jUGN1V0ZxWVVtNnRXRmlIRGxnSUhNQjRKZFdfVE5VenpQdkROYW4xcw?oc=5,서울경제,Portal,
2026-04-02,2026-04-02,유가,"“국제유가, 전쟁 전으로 못 돌아간다”…최악 땐 174달러 - 서울신문",https://news.google.com/rss/articles/CBMib0FVX3lxTE5oREhSOVNnUnpvNGxtd2hyeWpqdEdkNFRxdnlzOWdXa01EZWNlUDNQa1lmMG9nZ21mTnNVQjd6RktHdFI5cERHSkZnSERMZHdQa0JMMWhyMmZoN3VKdG5VQldWZkZNWkgtMnRGcEpncw?oc=5,서울신문,Portal,
