수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,골프웨어,[유통딜리버리] 신세계百ㆍ롯데百ㆍ롯데마트ㆍGS샵ㆍ무신사ㆍ세븐일레...,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202604020825180570653,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,[인물+] '실적 부진' 코오롱FnC 김민태 대표의 역할,https://www.shinailbo.co.kr/news/articleView.html?idxno=5006987,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,골프존 '2026 롯데렌터카 WGTOUR' 4차 결선 개최,https://www.gukjenews.com/news/articleView.html?idxno=3547384,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,"골프존, '2026 롯데렌터카 WGTOUR' 4차 결선",http://www.ccnnews.co.kr/news/articleView.html?idxno=406044,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,"골프존, '2026 롯데렌터카 WGTOUR' 4차 결선 5일 개최 .... 베테랑부터 루...",http://www.worktoday.co.kr/news/articleView.html?idxno=83328,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,"골프존, '2026 롯데렌터카 WGTOUR' 4차 결선 개최",http://www.thefirstmedia.net/news/articleView.html?idxno=197066,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,"골프존, 이번 주말 2026 GTOUR·WGTOUR 4차 결선 개최",https://www.starnewskorea.com/business-life/2026/04/02/2026040209135469309,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,"섬산련, 2025년 국내 패션 소비 시장 62조7844억 규모",https://www.fashionbiz.co.kr/article/225041,네이버 뉴스,Portal,
2026-04-02,2026-04-02,골프웨어,"쇼핑의 계절이 왔다 …백화점업계, 봄 정기세일 '활짝'",https://www.ajunews.com/view/20260330103916992,네이버 뉴스,Portal,
2026-04-02,2026-04-02,교복,"임신한 여고생 컨셉?…남보라, 교복 입고 D라인 자랑하며 출근 근황 - 조선비즈 - Chosunbiz",https://news.google.com/rss/articles/CBMihAFBVV95cUxQeWRYb2ZBNjh4b2JSVG9Yc0xBNE1XaEY5czRUVUMyN0ZZVXRIeW40cngtbXJWMHVKZkhuU0kwVUtnaHdiejhGZWwtRFlGVTdlSjVDTXhfYlNWREFMNGpSOC13dHRGX0JBckxVMVFxMDBfSUdidHA0QWQ5Y2dPU01LV0JwU1rSAZgBQVVfeXFMTWlHbWlsVW5RejN6WjhDWWp5MTFianNmblB4a1hTdGhTMHFwMlRIejZaV0hEY2xDbGR2Tl9yd05zbkRjbW5XOVdQZlhOa2FweXVJOUFlempIek5HYlBtU2UtOU9PTlU1TDdKbk4wRE9ETlJtTDZZdWNDaW1OaTlvQTlWaEYwUGdyV2ZMcUV0QzRvX3N0NmwyRmw?oc=5,Chosunbiz,Portal,
2026-04-02,2026-04-02,교복,"대통령님, 문제는 교복 값이 아닙니다 - ohmynews.com",https://news.google.com/rss/articles/CBMid0FVX3lxTE5RMVY2RlQwb1VOV1FJVHlyWjBXaFlCV19IaVdELUk1RlFaSEJEY3p3VFNka0dfR1VVNm9wenBTZEh0ZjNGN3RoLUJPUlRxWV9IcV8wbUFOaUpLLVl0RmpQVVpiVFYzcC1Cc1FRc3ZfMDc1ZVc2dVNZ?oc=5,ohmynews.com,Portal,
2026-04-02,2026-04-02,교복,"‘사라진 다섯 소녀’ 리센느, 다크한 교복 입고 그린 미스터리… 8일 ‘런어웨이’ 컴백 - sportsseoul.com",https://news.google.com/rss/articles/CBMiWEFVX3lxTFBSTlg0dXlYR3NDeWZCeWJrNDZkeV9kZEJZc3J6WUNqWm5oaUxmcDlzRXYtc2dMd2EzMjJWMjBKSHg5dkZhSktXbWEtbnc5SWstQUZYUUFtRUc?oc=5,sportsseoul.com,Portal,
2026-04-02,2026-04-02,교복,"경도 놀이'부터 교복 폐지 논란까지, 취재 현장 달리는 2개월 차 청소년 언론 '이음' - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1yeThGZklBUXMxV2RxcENrQVIteVlIZmd1VEhmb0R4dWFmN2QwY0k4b1Q1aW1mMmN0UlE3MzdLS3BzMjBuelJzUmJmbWtZWjg?oc=5,v.daum.net,Portal,
