수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,노스페이스,"“세계랭킹 3위 합류”…노스페이스, 이도현 전폭 지원 나선다 - topstarnews.net",https://news.google.com/rss/articles/CBMickFVX3lxTE9VTElZQWdRa0VxZnZfdWZTN094NzBySldMNHY5d05qMEN6eFdUN3lwV29FZ2RZNlRpNHJlWXlwM3F0MHJnaldCMXlDS0JjU1hfNHBOQ0pqcWtwcnMzZnRFdTZ4S0ZMcmF0aWFJTWRzd0JnUQ?oc=5,topstarnews.net,Portal,
2026-04-02,2026-04-02,노스페이스,"李대통령, 美 상원의원단에 “전작권 환수해 미국 부담 줄일 것”",http://www.edaily.co.kr/news/newspath.asp?newsid=05457926645412184,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,美 의원단 만난 李대통령 전작권 환수해 미국 부담 줄여야겠다는 생각...,https://view.asiae.co.kr/article/2026040219465708632,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 선수 공식 후원",https://www.seoulfn.com/news/articleView.html?idxno=625438,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"신세계사이먼 아울렛, 최대 80% 할인 '스프링 클리어런스 위크'",https://www.slist.kr/news/articleView.html?idxno=728551,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"신세계사이먼 프리미엄 아울렛, '스프링 클리어런스 위크' 개최",http://www.hansbiz.co.kr/news/articleView.html?idxno=829889,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"신세계사이먼 프리미엄 아울렛, '스프링 클리어런스 위크' 개최",https://www.news1.kr/industry/distribution/6122558,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"신세계사이먼 프리미엄 아울렛, ‘봄 행사’…12일까지 할인·혜택",https://biz.heraldcorp.com/article/10708262?ref=naver,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"이 대통령, 美 상원의원단 접견 한반도 평화에 관심 부탁",http://www.enewstoday.co.kr/news/articleView.html?idxno=2414517,네이버 뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 선수 공식 후원 - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1JYkxOX3NDR1lFQmZCY2FVd3VRbExWMWRmamtOVUc4enUzQzNkUU11TmlLUlkybnpGSkROTkdYQVJBLWFJTnl4cUJFekFHYXlwanU4?oc=5,네이트,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 선수 공식 후원 - 네이트 스포츠",https://news.google.com/rss/articles/CBMiXEFVX3lxTE12aDdXbHY1ZTh1MGxqaURRcnVXMUczTVBvb191d21XMzF2cWZIMFFZVU5mcUJSUWg5SURmNkJ6cnU2TWpyLXVrbEJoYnZNYlFpYnU5a0FVczFfd2VY?oc=5,네이트 스포츠,Portal,
2026-04-02,2026-04-02,노스페이스,"[포토] 노스페이스, 이도현 스포츠클라이밍 선수 후원계약 체결 - 뉴데일리 경제",https://news.google.com/rss/articles/CBMie0FVX3lxTE50MjlrQWprQnFwNFpuYWkxVWU0TUpja3dOUGUwMGd4V3hHa0had2Ffelc4dHpzSVl5MWJtLUVoZzRRaGUyT2tWa2xHS2w0MW0tSDdYMGtsS2x2WmlmdmV5MXFUZDEzZlVFNmZTYk0walZmV0pWcGVPUjhHNA?oc=5,뉴데일리 경제,Portal,
2026-04-02,2026-04-02,노스페이스,"[포토] 스포츠클라이밍 국가대표 이도현 선수, 노스페이스 애슬리트팀 합류 - 뉴데일리 경제",https://news.google.com/rss/articles/CBMie0FVX3lxTE5vQkYxRFdBYXBJWFVDUEllc19BQklGdEh1bnQ0LXdGb3VIMlI2UHl5YlMwZjhmWkRhS1V1eFVxakdaVUUzbnVZT2Zudk1Yb2RfMXVLSEdZVWZWLVBua1pHZG1ndnU5VDZzNzFYUlhZWGd4RnR4a3lxUGc1UQ?oc=5,뉴데일리 경제,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 선수 후원 - 로이슈",https://news.google.com/rss/articles/CBMiekFVX3lxTE5TX1c4bVpnOW9OamdzTlFXR2x4OE41UWlSeTdaN1NIOE5xUld1RkhBSDlrbTVxSUJxOFNqTk92VDZNTmJiYmJjaEY0Vi1pUDhLRVc2WEk3TmQyd2VXczdIQWJWbDFvMmJYS25qNVM2N2JZdHN1TEE4V3dR?oc=5,로이슈,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 선수 공식 후원 - 비욘드포스트",https://news.google.com/rss/articles/CBMifEFVX3lxTE9qU193em5ua1QtSVRnWnA4RTczbjY2UG1vcy13Nkw2ZVZxRmtkNzVya1NkWlAyaU1ySE9DX1V2OG4waGZPMW5nQXUwR0FUbXBkRDlHOENPQTM3Uy14S3ZSYUZnbmtydEZqVTdMSWF1akxvYVhOWDBlX3ozOHM?oc=5,비욘드포스트,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스 이도현 품었다, 금메달 냄새 난다 - 스포츠동아",https://news.google.com/rss/articles/CBMickFVX3lxTE9VZGQ4QnNCS3B5Smo2NDdyWUU0d0RWaFpwRFlNN0E0NGZnRi1MempZbkRJWS15YTdJajBWelhqeVlrWGhsd3ZwLU45UEpKbmNiY0ZYbElOZmoxSnV1MXV0cTB2bXhMSEQ4UXIwYTRFXzNzQQ?oc=5,스포츠동아,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 공식 후원 - 연합뉴스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE51VDF4dzZvYnc2R1g5QVB5RWFFdlk3dnVXMUE3Y1BON3NDbmdvbzVJZDVYU09CM3dINERGaFRVaHdHWjJkMGVzU1gtV0hPbnNpZldhQXE3NzVqOUpTR3JuUdIBYEFVX3lxTE51VDF4dzZvYnc2R1g5QVB5RWFFdlk3dnVXMUE3Y1BON3NDbmdvbzVJZDVYU09CM3dINERGaFRVaHdHWjJkMGVzU1gtV0hPbnNpZldhQXE3NzVqOUpTR3JuUQ?oc=5,연합뉴스,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, ‘클라이밍 간판’ 이도현 품었다…애슬리트팀 전력 강화 - 일간스포츠",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1XR1dZRUJFYWEzd1JmS3lEUzhjTW9FYVBHTXdOcmp0TDlDdktoLXFfNWlOUzBUQ3p2THJjTzFYUlJ0SVVkcDBNZ09BLXE4dGpwaTRyTjd5QTBYbVk?oc=5,일간스포츠,Portal,
2026-04-02,2026-04-02,노스페이스,"노스페이스, 스포츠클라이밍 국가대표 이도현 선수 공식 후원 - 포인트데일리",https://news.google.com/rss/articles/CBMicEFVX3lxTE5HUFpTdk1zNlFTTXVSMk56QnMwcmpPekhsXzFSVkZ4N0dLRFBGekhmV3JTVklQQ2x6S3ZMaGI5aGh2T2VwS2doRmxJWTJ1OGlQcmFXczNfT2tCVW16bl9lUmprNGthVDluTTRfSzhRWjDSAXRBVV95cUxOZzlsR0Jza2hpNkkxUFB0ZHVnVU0zTU9uQmx2V18wdVRMeTJHazZ6X2NnMmZBNUM3N2V6cTNvZVU0eVcwWElKRnlOZVpaRjdGQldVcFpXLXBmTFdfRmtmRFl0YnItY2ZRdkFwY0NzLWdUQTh1SQ?oc=5,포인트데일리,Portal,
